Horário regular,,dom,seg,ter,qua,qui,sex,sáb
*,,,,,,,,
Horário a menos,,,,,,,,
*,,,,,,,,
Horário extra,,,,,,,,
4,19h,12h,,,,,,
7,7h,12h,,,,,,
8,7h,6h,,,,,,
10,7h,12h,,,,,,
18,7h,12h,,,,,,
20,7h,12h,,,,,,
24,7h,12h,,,,,,
26,7h,12h,,,,,,
27,7h,6h,,,,,,
*,,,,,,,,
